"","senator_name","year_in_office","Total_Transaction","yearly_weighted_return","weighted_average_returns","SP_500_return","abnormal_return_size","abnormal_return_numeric"
"788","Bob Gibbs","2016",537514.5,-17668384.6350157,-32.8705265346623,9.54,"444.55 % lower",-444.55478547864
"789","Cheri Bustos","2016",130002,-4311421.74627283,-33.1642724440611,9.54,"447.63 % lower",-447.633883061437
"790","Hakeem S. Jeffries","2017",40002.5,-2703068.29640338,-67.5724841298263,19.42,"447.95 % lower",-447.953059370887
"791","Hoeven, John","2014",2250009,-89959819.7440394,-39.9819821805332,11.39,"451.03 % lower",-451.027060408545
"792","Inhofe, James M.","2017",1666013.5,-116609288.521211,-69.9930033707476,19.42,"460.42 % lower",-460.417113134643
"793","Nancy Pelosi","2017",6382504.5,-465149780.919035,-72.8788802137209,19.42,"475.28 % lower",-475.277447032548
"794","Garret Graves","2024",8000.5,-706035.294588727,-88.2488962675741,23.31,"478.59 % lower",-478.588143576036
"795","Neal P. Dunn","2017",73001.5,-5450093.34897176,-74.6572789459362,19.42,"484.44 % lower",-484.435010020269
"796","Murray, Patty","2017",624039,-46742254.8530033,-74.9027782766836,19.42,"485.70 % lower",-485.69916723318
"797","John A. Boehner","2014",371512.5,-16496744.8400742,-44.4042793716879,11.39,"489.85 % lower",-489.853199049059
"798","Debbie Wasserman Schultz","2021",48003,-5084450.72171573,-105.919436737615,26.89,"493.90 % lower",-493.898983776924
"799","Jr, David A Perdue ","2018",153006.5,-5734117.72245504,-37.4763014803622,-6.24,"500.58 % lower",-500.581754492984
"800","Jim Mcdermott","2016",8000.5,-307008.359342546,-38.3736465649079,9.54,"502.24 % lower",-502.239481812452
"801","Mr. Bob Gibbs","2013",8000.5,-956705.78927974,-119.580749863101,29.6,"503.99 % lower",-503.989019807774
"802","Daniel Meuser","2023",639003.5,-62787785.1492507,-98.2589064836901,24.23,"505.53 % lower",-505.525821228601
"803","James French Hill","2020",97003,-6413083.3311245,-66.1122164378885,16.26,"506.59 % lower",-506.594197034985
"804","Cassidy, Bill","2017",64004,-5090497.17312641,-79.5340474521345,19.42,"509.55 % lower",-509.547103255069
"805","Hoeven, John","2016",1632510.5,-64447105.6633149,-39.477299327211,9.54,"513.81 % lower",-513.808169048333
"806","Mr. Scott H. Peters","2013",72004.5,-9259186.1497441,-128.591770649669,29.6,"534.43 % lower",-534.431657600234
"807","Lloyd K. Smucker","2019",283507,-35777138.2423166,-126.194902567896,28.88,"536.96 % lower",-536.962959030112
"808","Kim Schrier","2020",8100005,-581141570.010209,-71.745828553218,16.26,"541.24 % lower",-541.241258014871
"809","Alan S. Lowenthal","2014",390006,-19941951.8123578,-51.1324231226131,11.39,"548.92 % lower",-548.923820216094
"810","Mr. Beto O'Rourke","2014",40002.5,-2052161.64782043,-51.3008348933299,11.39,"550.40 % lower",-550.402413462071
"811","Capito, Shelley Moore","2018",832052,-33984476.9086392,-40.8441742927596,-6.24,"554.55 % lower",-554.554075204481
"812","Toomey, Pat","2018",56502,-2321424.88027405,-41.0857116610749,-6.24,"558.42 % lower",-558.424866363379
"813","Lloyd Doggett","2016",104006.5,-4600131.35473296,-44.2292679278022,9.54,"563.62 % lower",-563.619160668787
"814","Hoeven, John","2020",175000.5,-13318007.4349128,-76.1026821918382,16.26,"568.04 % lower",-568.036175841563
"815","McConnell, A. Mitchell Jr.","2017",16001,-1501631.99282297,-93.8461341680499,19.42,"583.24 % lower",-583.244769145468
"816","Earl Blumenauer","2018",617035.5,-26476276.5298084,-42.9088383566398,-6.24,"587.64 % lower",-587.641640330767
"817","Kim Schrier","2019",225001.5,-32573831.5136329,-144.771619360906,28.88,"601.29 % lower",-601.286770640256
"818","David E. Price","2014",80005,-4622623.27539531,-57.7791797437074,11.39,"607.28 % lower",-607.279892394271
"819","Debbie Dingell","2020",328504.5,-27136754.4399331,-82.6069488848193,16.26,"608.04 % lower",-608.037816019799
"820","David A. Trott","2016",1577016.5,-77796123.0453813,-49.3312042362152,9.54,"617.10 % lower",-617.098576899531
"821","King, Angus","2020",8000.5,-674620.415147587,-84.322281750839,16.26,"618.59 % lower",-618.587218639846
"822","Mr. Ed Whitfield","2014",320518.5,-19006096.4203193,-59.2979700713665,11.39,"620.61 % lower",-620.614311425518
"823","Toomey, Patrick","2020",32002,-2749789.64823567,-85.9255561601048,16.26,"628.45 % lower",-628.447454859193
"824","Justin Amash","2020",48501.5,-4240269.06507873,-87.4255242637595,16.26,"637.67 % lower",-637.67235094563
"825","Peter J. Visclosky","2020",40501,-3560893.95430044,-87.9211366213289,16.26,"640.72 % lower",-640.720397425147
"826","Robert E. Latta","2020",8000.5,-712252.114175664,-89.0259501500736,16.26,"647.52 % lower",-647.515068573638
"827","Ms. Tammy Duckworth","2014",8000.5,-505253.292439804,-63.1527145103186,11.39,"654.46 % lower",-654.457546183658
"828","Adam Kinzinger","2016",72004.5,-3854840.10281419,-53.5360998661777,9.54,"661.18 % lower",-661.175051008152
"829","Rodney Leland Blum","2017",75000.5,-8193140.66126075,-109.241147209162,19.42,"662.52 % lower",-662.518780685695
"830","Nicholas Van Taylor","2020",2979508.5,-273601503.993754,-91.827730645425,16.26,"664.75 % lower",-664.746190931273
"831","Bill Flores","2014",180502.5,-11814801.6502526,-65.4550582415902,11.39,"674.67 % lower",-674.671275167605
"832","Cochran, Thad","2016",1394535.5,-76549159.1053024,-54.8922269137662,9.54,"675.39 % lower",-675.390219221868
"833","Mo Brooks","2018",324008,-15684526.2427283,-48.4078363581402,-6.24,"675.77 % lower",-675.766608303528
"834","Louise Mcintosh Slaughter","2016",32002,-1764807.89466246,-55.1468000331998,9.54,"678.06 % lower",-678.05870055765
"835","Toomey, Pat","2017",194504.5,-22185159.8838724,-114.059879765622,19.42,"687.33 % lower",-687.33202762936
"836","Manchin, Joe","2017",75000.5,-8597450.86947872,-114.631914046956,19.42,"690.28 % lower",-690.277621251061
"837","Mr. Alan S. Lowenthal","2013",32500.5,-5697331.3621269,-175.299806529958,29.6,"692.23 % lower",-692.229076114723
"838","Peters, Gary","2017",32002,-3693902.37936788,-115.427235153049,19.42,"694.37 % lower",-694.372992549172
"839","Nick J. Rahall Ii","2014",64004,-4362040.14323107,-68.1526176993792,11.39,"698.35 % lower",-698.354852496744
"840","Cochran, Thad","2014",1116531.5,-76264437.7321404,-68.3047793386397,11.39,"699.69 % lower",-699.690775580682
"841","Steve Womack","2014",37500000.5,-2582012641.08814,-68.8536695109681,11.39,"704.51 % lower",-704.509828893486
"842","Hoeven, John","2013",175000.5,-31576721.0826113,-180.43789064952,29.6,"709.59 % lower",-709.58746841054
"843","Ms. Louise Mcintosh Slaughter","2014",24001.5,-1691446.99918383,-70.4725537647162,11.39,"718.72 % lower",-718.723035686709
"844","Brian Mast","2018",182501.5,-9352898.36742405,-51.2483369584581,-6.24,"721.29 % lower",-721.287451257342
"845","Louise Mcintosh Slaughter","2014",8000.5,-566980.920349197,-70.8681857820383,11.39,"722.20 % lower",-722.196538911662
"846","John Rutherford","2018",200012.5,-10455316.4140348,-52.2733149879875,-6.24,"737.71 % lower",-737.713381217748
"847","Cochran, Thad","2013",105502,-20232022.7450198,-191.769092007922,29.6,"747.87 % lower",-747.868554080817
"848","Raul Ruiz","2017",456004.5,-57642796.1048655,-126.408393129597,19.42,"750.92 % lower",-750.918605198751
"849","Richard L. Hanna","2014",1339507,-105009050.246591,-78.3938047704053,11.39,"788.27 % lower",-788.268698598817
"850","Michael R. Turner","2017",1500001,-200847433.152063,-133.898199502575,19.42,"789.49 % lower",-789.486094246012
"851","Donna Shalala","2020",822004.5,-92472390.349842,-112.496209387956,16.26,"791.86 % lower",-791.858606321992
"852","Virginia Foxx","2016",1597534.5,-107791828.414271,-67.4738657689526,9.54,"807.27 % lower",-807.27322608965
"853","John D. Dingell","2014",72503,-5846157.48973585,-80.6333184797298,11.39,"807.93 % lower",-807.930803158295
"854","Thomas J. Rooney","2015",1476559,-9797594.2628221,-6.63542348312671,-0.73,"808.96 % lower",-808.962120976262
"855","Mr. John D. Dingell","2014",8000.5,-665503.919606892,-83.1827910264224,11.39,"830.31 % lower",-830.314232014244
"856","James French Hill","2016",601010,-42110078.0851662,-70.0655198501958,9.54,"834.44 % lower",-834.439411427629
"857","Michael Patrick Guest","2020",65001,-7796703.11056613,-119.947433278967,16.26,"837.68 % lower",-837.684091506562
"858","Gerald E. Connolly","2017",32002,-4650407.64894053,-145.316156769594,19.42,"848.28 % lower",-848.280930842397
"859","Rodney Leland Blum","2018",500002,-29799003.9467772,-59.5977695024763,-6.24,"855.09 % lower",-855.092459975582
"860","Jim Mcdermott","2014",40501,-3598799.73161609,-88.8570586310483,11.39,"880.13 % lower",-880.132209227816
"861","David B. Mckinley","2015",1046022.5,-7497836.41629264,-7.16794946216992,-0.73,"881.91 % lower",-881.910885228757
"862","Jackie Speier","2018",247503.5,-15471025.3927019,-62.5083095499734,-6.24,"901.74 % lower",-901.735729967523
"863","Mr. Bob Gibbs","2014",120506,-11016228.47261,-91.4164313196854,11.39,"902.60 % lower",-902.602557679416
"864","Lloyd Doggett","2014",16001,-1585855.60265533,-99.1097808046577,11.39,"970.15 % lower",-970.147329277065
"865","Carper, Thomas R.","2013",32002,-8428545.85104176,-263.375596870251,29.6,"989.78 % lower",-989.782421858955
"866","Inhofe, James M.","2016",987508,-87295478.7354307,-88.3997686453484,9.54,"1026.62 % lower",-1026.62231284432
"867","Mr. Gary C. Peters","2014",72004.5,-7725229.2432669,-107.288145091861,11.39,"1041.95 % lower",-1041.95035199175
"868","K. Michael Conaway","2015",1656602,-13948719.3962691,-8.42007880967733,-0.73,"1053.44 % lower",-1053.43545338046
"869","Debbie Wasserman Schultz","2016",192012,-18196340.2701023,-94.7666826557836,9.54,"1093.36 % lower",-1093.36145341492
"870","Mr. James R. Langevin","2014",8000.5,-925129.856721386,-115.634004964863,11.39,"1115.22 % lower",-1115.22392418668
"871","Ms. Kathy Castor","2014",32002,-3703059.92869175,-115.713390684699,11.39,"1115.92 % lower",-1115.92090153379
"872","Mr. Lloyd Doggett","2014",32002,-3723533.95105866,-116.35316389784,11.39,"1121.54 % lower",-1121.53787443231
"873","Peters, Gary","2016",56003.5,-5689179.67221384,-101.586145012612,9.54,"1164.84 % lower",-1164.84428734395
"874","Rodney Leland Blum","2016",175000.5,-18370168.0328279,-104.972088838763,9.54,"1200.34 % lower",-1200.33636099332
"875","McConnell, A. Mitchell Jr.","2018",32002,-2599622.85638067,-81.2331371908216,-6.24,"1201.81 % lower",-1201.81309600676
"876","Roger W. Marshall","2018",160508.5,-13246451.7484801,-82.5280390040408,-6.24,"1222.56 % lower",-1222.56472762886
"877","Virginia Foxx","2014",138002.5,-17739817.0702174,-128.547070308273,11.39,"1228.60 % lower",-1228.59587627983
"878","Daniel Meuser","2022",191001.5,-49482687.0061082,-259.069625139636,-19.44,"1232.66 % lower",-1232.66268075944
"879","Mr. Paul Ryan","2014",75000.5,-9720448.56218212,-129.605116794983,11.39,"1237.89 % lower",-1237.88513428431
"880","Capito, Shelley Moore","2015",8000.5,-79741.2159107397,-9.96702904952687,-0.73,"1265.35 % lower",-1265.34644514067
"881","Peters, Gary","2018",32002,-2727383.61301748,-85.2254113185889,-6.24,"1265.79 % lower",-1265.79184805431
"882","David Cheston Rouzer","2020",48003,-9397772.23312583,-195.774685605604,16.26,"1304.03 % lower",-1304.02635673803
"883","Toomey, Pat","2014",316506,-44102380.379682,-139.341372295255,11.39,"1323.37 % lower",-1323.36586738591
"884","Carper, Thomas R.","2014",72004.5,-10190631.8346565,-141.527707777381,11.39,"1342.56 % lower",-1342.56108671977
"885","Susan A. Davis","2014",65001,-9364298.63834673,-144.063916529695,11.39,"1364.83 % lower",-1364.82806435202
"886","Wicker, Roger","2018",8000.5,-736542.526374622,-92.0620619179579,-6.24,"1375.35 % lower",-1375.35355637753
"887","Tom O'Halleran","2018",8000.5,-765949.484952087,-95.7377020126351,-6.24,"1434.26 % lower",-1434.25804507428
"888","Jim Mcdermott","2015",148002,-1748909.35772177,-11.8167954333169,-0.73,"1518.74 % lower",-1518.73910045437
"889","Mr. Michael C. Burgess","2014",48003,-7788104.93739762,-162.242046067904,11.39,"1524.43 % lower",-1524.42533861198
"890","Kevin Hern","2018",8000.5,-814536.417072227,-101.810688965968,-6.24,"1531.58 % lower",-1531.58155394179
"891","Richard L. Hanna","2016",3847035.5,-549886099.143836,-142.937620186722,9.54,"1598.30 % lower",-1598.2979055212
"892","Mark R Meadows","2018",40002.5,-4241117.28608188,-106.021305820433,-6.24,"1599.06 % lower",-1599.05938814797
"893","Tom Graves Jr.","2016",24001.5,-3486410.23883345,-145.258014658811,9.54,"1622.62 % lower",-1622.62069872967
"894","Mr. Earl Blumenauer","2014",32002,-5866248.29565901,-183.308802439192,11.39,"1709.38 % lower",-1709.38369130107
"895","Gerald E. Connolly","2014",8000.5,-1475684.27393634,-184.449006179156,11.39,"1719.39 % lower",-1719.39425969408
"896","Ed Whitfield","2015",425522,-5755578.75785185,-13.5259252350098,-0.73,"1752.87 % lower",-1752.86647054929
"897","Nancy Pelosi","2014",990504,-187906439.214062,-189.707905484543,11.39,"1765.57 % lower",-1765.56545640512
"898","Zoe Lofgren","2018",192510.5,-22910290.2624632,-119.008003524292,-6.24,"1807.18 % lower",-1807.17954365853
"899","Kevin Yoder","2016",16001,-2611895.18886224,-163.233247225939,9.54,"1811.04 % lower",-1811.04032731592
"900","Mr. Gerald E. Connolly","2014",24001.5,-4716635.54121706,-196.514198746622,11.39,"1825.32 % lower",-1825.32220146288
"901","Cruz, Ted","2014",107501,-21166980.5981977,-196.900313468691,11.39,"1828.71 % lower",-1828.71214634496
"902","Gerald E. Connolly","2018",32002,-3872488.30265829,-121.007696477042,-6.24,"1839.23 % lower",-1839.2259050808
"903","Mr. Kevin Yoder","2014",8000.5,-1625560.97215482,-203.182422617939,11.39,"1883.87 % lower",-1883.86674818208
"904","Gerald E. Connolly","2016",32002,-5625787.2246449,-175.794863591179,9.54,"1942.71 % lower",-1942.71345483416
"905","Kenneth R. Buck","2016",65001,-11771511.6635876,-181.097393326067,9.54,"1998.30 % lower",-1998.2955275269
"906","Earl Blumenauer","2016",40002.5,-7269077.51118958,-181.715580555955,9.54,"2004.78 % lower",-2004.77547752573
"907","Mr. George Miller","2014",16001,-3617217.48877322,-226.061964175565,11.39,"2084.74 % lower",-2084.74068635264
"908","Mr. Lou Barletta","2014",56502,-12988993.7776607,-229.885557637973,11.39,"2118.31 % lower",-2118.31042702346
"909","David A. Trott","2015",2603288,-43705896.7621038,-16.788729008125,-0.73,"2199.83 % lower",-2199.82589152398
"910","Whitehouse, Sheldon","2015",450520.5,-7649833.09266581,-16.9799889076431,-0.73,"2226.03 % lower",-2226.02587775932
"911","Derek Kilmer","2017",8000.5,-3415265.55760503,-426.881514605966,19.42,"2298.15 % lower",-2298.1540401955
"912","Carper, Thomas R.","2012",16001,-4834597.69409063,-302.14347191367,13.41,"2353.12 % lower",-2353.12059592595
"913","Lois Frankel","2015",888055.5,-18266606.5753596,-20.569217324097,-0.73,"2717.70 % lower",-2717.70100330096
"914","Carper, Thomas R.","2015",120007.5,-2969653.01450649,-24.7455618566047,-0.73,"3289.80 % lower",-3289.80299405544
"915","Jacky Rosen","2017",8000.5,-5399024.43271638,-674.835876847245,19.42,"3574.95 % lower",-3574.95302187047
"916","Eleanor Holmes Norton","2015",32500.5,-903900.632803306,-27.811899287805,-0.73,"3709.85 % lower",-3709.84921750753
"917","Robert J. Wittman","2015",312019.5,-10031605.7945639,-32.1505732640554,-0.73,"4304.19 % lower",-4304.18811836375
"918","Pete Sessions","2015",1132328.5,-36575841.1726908,-32.3014400615111,-0.73,"4324.85 % lower",-4324.85480294672
"919","Lloyd Doggett","2015",96006,-3136463.28398726,-32.6694507008652,-0.73,"4375.27 % lower",-4375.2672192966
"920","Earl Blumenauer","2015",170004.5,-6625490.02632116,-38.9724391196772,-0.73,"5238.69 % lower",-5238.69029036674
"921","Tammy Duckworth","2015",48003,-1892400.81845285,-39.4225531415297,-0.73,"5300.35 % lower",-5300.34974541503
"922","Louise Mcintosh Slaughter","2015",32002,-1361460.36878423,-42.5429775884079,-0.73,"5727.81 % lower",-5727.80514909697
"923","Mr. Jim Mcdermott","2014",8000.5,-5592752.45577651,-699.050366324169,11.39,"6237.40 % lower",-6237.4044453395
"924","Debbie Wasserman Schultz","2015",554006.5,-26050482.6350083,-47.021980130212,-0.73,"6341.37 % lower",-6341.36714112493
"925","Hoeven, John","2015",1015004,-50360539.7988345,-49.616099836882,-0.73,"6696.73 % lower",-6696.72600505232
"926","Kevin Yoder","2015",40002.5,-2041757.57916076,-51.0407494321795,-0.73,"6891.88 % lower",-6891.88348386021
"927","Michael K. Simpson","2015",160010,-8247138.15733309,-51.5413921463227,-0.73,"6960.46 % lower",-6960.46467757845
"928","Mick Mulvaney","2015",137504,-8102301.17384018,-58.9241125628359,-0.73,"7971.80 % lower",-7971.79624148436
"929","Cassidy, Bill","2015",32002,-1893390.27357368,-59.1647482524117,-0.73,"8004.76 % lower",-8004.76003457695
"930","David E. Price","2015",112007,-6674949.52224567,-59.594038964044,-0.73,"8063.57 % lower",-8063.56698137589
"931","Randy Neugebauer","2015",112505.5,-7562964.46969455,-67.2230643808041,-0.73,"9108.64 % lower",-9108.63895627453
"932","Peters, Gary","2015",104006.5,-7094226.42476752,-68.2094525319814,-0.73,"9243.76 % lower",-9243.76062081937
"933","Debbie Dingell","2015",412512,-33781334.1289338,-81.8917610370942,-0.73,"11118.05 % lower",-11118.0494571362
"934","Cochran, Thad","2015",1014019,-85543330.6877112,-84.3606783380895,-0.73,"11456.26 % lower",-11456.2573065876
"935","Toomey, Pat","2015",113004,-11532898.4491342,-102.05743556984,-0.73,"13880.47 % lower",-13880.4706260055
"936","Perdue, David","2015",1279058.5,-153956597.463222,-120.367127432578,-0.73,"16388.65 % lower",-16388.6475935039
"937","James R. Langevin","2015",48501.5,-6184832.19944721,-127.518369523565,-0.73,"17368.27 % lower",-17368.2697977487
"938","Nancy Pelosi","2015",832502.5,-111125982.767614,-133.484263131479,-0.73,"18185.52 % lower",-18185.5154974629
"939","Collins, Susan M.","2015",37637504.5,-6748326185.63961,-179.297917736273,-0.73,"24461.36 % lower",-24461.35859401
"940","Gerald E. Connolly","2015",32002,-5830170.21468911,-182.18143286948,-0.73,"24856.36 % lower",-24856.3606670521
"941","Cruz, Ted","2015",75000.5,-17002128.7569129,-226.693538801913,-0.73,"30953.91 % lower",-30953.9094249196
"942","Raul Ruiz","2015",65001,-18193934.0451856,-279.90237142791,-0.73,"38242.79 % lower",-38242.790606563
"943","James French Hill","2015",8000.5,-5700638.70547944,-712.535304728385,-0.73,"97507.58 % lower",-97507.5759901897
