"","senator_name","year_in_office","Total_Transaction","yearly_weighted_return","weighted_average_returns","SP_500_return","abnormal_return_size","abnormal_return_numeric"
"438","Warren Davidson","2020",140001.5,474299.214790252,3.3878152361957,16.26,"79.16 % lower",-79.1647279446759
"439","Marie Newman","2021",6140144.5,33034315.038964,5.38005498713655,26.89,"79.99 % lower",-79.9923578016491
"440","Justin Amash","2019",40002.5,224525.213821423,5.6127795468139,28.88,"80.57 % lower",-80.5651677741901
"441","Dwight Evans","2021",88005.5,457923.237613557,5.20334794545292,26.89,"80.65 % lower",-80.6495055951918
"442","Daniel Meuser","2019",72004.5,392675.630767081,5.45348736213821,28.88,"81.12 % lower",-81.1167335106018
"443","Carlos Curbelo","2017",625534.5,2230597.2081156,3.56590597019925,19.42,"81.64 % lower",-81.6379713172026
"444","Cassidy, Bill","2018",80005,-909164.79851446,-11.3638497408219,-6.24,"82.11 % lower",-82.1129766157364
"445","Thomas Suozzi","2017",1184533.5,4082866.12612529,3.44681355666622,19.42,"82.25 % lower",-82.2512175248907
"446","Abigail Spanberger","2022",8000.5,-283689.495611553,-35.4589707657713,-19.44,"82.40 % lower",-82.4021129926507
"447","Jonathan Jackson","2023",1484022,6308121.43549757,4.25069266863805,24.23,"82.46 % lower",-82.4569019040939
"448","Mullin, Markwayne","2023",2513555,10154268.4817142,4.03980357768747,24.23,"83.33 % lower",-83.3272654655903
"449","K. Michael Conaway","2020",5614076.5,14038991.3546148,2.50067688864141,16.26,"84.62 % lower",-84.6206833416888
"450","Donna Shalala","2019",3960731.5,17391578.0133969,4.39100151408821,28.88,"84.80 % lower",-84.7957011285034
"451","Lois Frankel","2021",1016063.5,3865450.15151949,3.80433914959005,26.89,"85.85 % lower",-85.8522158810337
"452","David E. Price","2020",40002.5,91961.636968318,2.29889724313026,16.26,"85.86 % lower",-85.8616405711546
"453","Earl Blumenauer","2023",233510,784503.853844454,3.35961566461588,24.23,"86.13 % lower",-86.1344793041028
"454","Michael G. Fitzpatrick","2015",64004,-87114.2982752754,-1.36107584331097,-0.73,"86.45 % lower",-86.4487456590373
"455","Thomas H. Kean Jr.","2023",64004,210143.024352962,3.28327955054313,24.23,"86.45 % lower",-86.4495272367184
"456","James French Hill","2023",637006.5,2087765.62580956,3.27746361427955,24.23,"86.47 % lower",-86.473530275363
"457","Bob Gibbs","2021",241510.5,871805.710605231,3.60980458657173,26.89,"86.58 % lower",-86.5756616341698
"458","Scott H. Peters","2015",22599183.5,-30885046.5162082,-1.36664435315586,-0.73,"87.21 % lower",-87.2115552268308
"459","Rick Larsen","2021",88005.5,278584.446535548,3.16553450108855,26.89,"88.23 % lower",-88.2278374820062
"460","Mr. Peter Meijer","2021",3646609,9782905.7723818,2.68274053302172,26.89,"90.02 % lower",-90.0232780475206
"461","Daniel Goldman","2023",31090590.5,74973894.0438676,2.4114657469715,24.23,"90.05 % lower",-90.0476031903776
"462","Cindy Axne","2021",240015,640440.13353272,2.66833378552474,26.89,"90.08 % lower",-90.0768546466168
"463","Max Miller","2023",48501.5,106804.448833092,2.20208547845101,24.23,"90.91 % lower",-90.9117396679694
"464","Katherine M. Clark","2014",1796100,1739147.89099788,0.968291237123703,11.39,"91.50 % lower",-91.4987599901343
"465","Steve Cohen","2020",441024.5,580123.348743782,1.31539936838834,16.26,"91.91 % lower",-91.9102129865416
"466","Lois Frankel","2023",1867107.5,3349935.35130352,1.79418450801763,24.23,"92.60 % lower",-92.5951939413222
"467","Virginia Foxx","2021",2601047.5,5105043.53670867,1.9626875467321,26.89,"92.70 % lower",-92.7010504026326
"468","Dean Phillips","2020",3414200,3923921.30335269,1.14929450628337,16.26,"92.93 % lower",-92.9317681040383
"469","Carper, Thomas R.","2024",72004.5,103263.700560421,1.43412843031228,23.31,"93.85 % lower",-93.8475828815432
"470","Susie Lee","2019",3961244.5,5901846.65131245,1.48989708949106,28.88,"94.84 % lower",-94.841076559934
"471","Earl Blumenauer","2024",80503.5,89973.0401733981,1.11762892512,23.31,"95.21 % lower",-95.2053671166023
"472","John Rutherford","2019",128008,168351.338730986,1.31516263617106,28.88,"95.45 % lower",-95.4461127556404
"473","Kim Dr Schrier","2021",1913012,2297939.21116789,1.20121526219799,26.89,"95.53 % lower",-95.5328551052511
"474","Virginia Foxx","2024",290012,282975.94186305,0.975738734476678,23.31,"95.81 % lower",-95.8140766431717
"475","Lloyd Doggett","2024",8000.5,7320.41418938553,0.914994586511534,23.31,"96.07 % lower",-96.0746692985348
"476","William R. Keating","2023",196882,182440.240230485,0.926647637826134,24.23,"96.18 % lower",-96.1756184984476
"477","Debbie Wasserman Schultz","2024",16001,13840.9415429508,0.86500478363545,23.31,"96.29 % lower",-96.2891257673297
"478","Peter Meijer","2021",870558,537646.32573383,0.617588174175449,26.89,"97.70 % lower",-97.7032793820177
"479","Susie Lee","2023",186005.5,97980.8412132064,0.52676313987063,24.23,"97.83 % lower",-97.8259878668154
"480","Michael Garcia","2022",255503,-9871726.13541516,-38.6364392410858,-19.44,"98.75 % lower",-98.7471154376843
"481","Bill Pascrell Jr.","2021",8000.5,1962.49516286834,0.245296564323272,26.89,"99.09 % lower",-99.0877777451719
